,Bangladesh,Belgium,Cambodia,Canada,Chile,China,Egypt,Germany,HongKong,Italy,Japan,Korea,Mexico,Mongolia,Netherlands,Pakistan,SouthAfrica,Sweden,Taiwan,Thailand,UK,USA
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
Chile,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
China,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HongKong,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Japan,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
Korea,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
Mexico,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
Mongolia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pakistan,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SouthAfrica,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
Sweden,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Taiwan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0
